"","sites","siteID"
"527","Big Brook Lake CE441",527
"528","Big Brook Lake CE9350",528
"529","Big Brook Lake NW11375",529
"530","Big Brook Lake NW1289",530
"531","Big Brook Lake NW13267",531
"532","Big Brook Lake NW6581",532
"533","Big Brook Lake NW7825",533
"534","Big Lake CE11054",534
"535","Big Lake CE12095",535
"536","Big Lake CE42712x",536
"537","Big Lake CE5770",537
"538","Big Lake CE993",538
"539","Big Lake NW14047",539
"540","Big Lake NW16152",540
"541","Big Lake NW16936",541
"542","Big Lake NW2163",542
"543","Big Lake NW58011x",543
"544","Big Lake SW12321x",544
"545","Big Lake SW14647",545
"546","Big Lake SW14672",546
"547","Big Lake SW14765",547
"548","Big Lake SW4746",548
"549","Big Machias Lake CE1336",549
"550","Big Machias Lake CE14401",550
"551","Big Machias Lake CE16147",551
"552","Big Machias Lake CE183",552
"553","Big Machias Lake CE3968",553
"554","Big Machias Lake NW18068",554
"555","Big Machias Lake NW6750",555
"556","Big Machias Lake NW8779",556
"557","Big Machias Lake NW930",557
"558","Big Machias Lake NW9321",558
"559","Big Machias Lake SW11680",559
"560","Big Machias Lake SW17385",560
"561","Big Machias Lake SW2349",561
"562","Big Machias Lake SW5426",562
"563","Big Machias Lake SW7061",563
"564","Big Moose Pond CE13030",564
"565","Big Moose Pond CE1933x",565
"566","Big Moose Pond CE2182",566
"567","Big Moose Pond CE2258",567
"568","Big Moose Pond CE7090",568
"569","Big Moose Pond NW2202",569
"570","Big Moose Pond NW3955",570
"571","Big Moose Pond NW4502",571
"572","Big Moose Pond NW4690",572
"573","Big Moose Pond NW7698",573
"574","Big Moose Pond SW10880",574
"575","Big Moose Pond SW12391",575
"576","Big Moose Pond SW14014",576
"577","Big Moose Pond SW16371",577
"578","Big Moose Pond SW2432",578
"579","Big Rapids CE12357",579
"580","Big Rapids CE1659",580
"581","Big Rapids CE17636",581
"582","Big Rapids CE5431",582
"583","Big Rapids CE9844",583
"584","Big Rapids NW11724",584
"585","Big Rapids NW14394",585
"586","Big Rapids NW15894",586
"587","Big Rapids NW3676",587
"588","Big Rapids NW6588",588
"589","Big Rapids SW16697",589
"590","Big Rapids SW1817",590
"591","Big Rapids SW4809",591
"592","Big Rapids SW5265",592
"593","Big Rapids SW9990",593
"594","Big Shanty Mtn CE12682",594
"595","Big Shanty Mtn CE13028",595
"596","Big Shanty Mtn CE15170",596
"597","Big Shanty Mtn CE5245",597
"598","Big Shanty Mtn CE6594",598
"599","Big Shanty Mtn NW13779",599
"600","Big Shanty Mtn NW4574",600
"601","Big Shanty Mtn NW8630",601
"602","Big Shanty Mtn NW8640",602
"603","Big Shanty Mtn NW9735",603
"604","Big Shanty Mtn SW11043x",604
"605","Big Shanty Mtn SW13473",605
"606","Big Shanty Mtn SW36847x",606
"607","Big Shanty Mtn SW47349x",607
"608","Big Shanty Mtn SW8698",608
"609","Big Spencer Mtn CE13810",609
"610","Big Spencer Mtn CE17054",610
"611","Big Spencer Mtn CE3055x",611
"612","Big Spencer Mtn CE4454",612
"613","Big Spencer Mtn CE756",613
"614","Big Spencer Mtn NW14727",614
"615","Big Spencer Mtn NW15757",615
"616","Big Spencer Mtn NW2928",616
"617","Big Spencer Mtn NW4308",617
"618","Big Spencer Mtn NW578",618
"619","Bingham CE11778",619
"620","Bingham CE1784",620
"621","Bingham CE4972",621
"622","Bingham CE620x",622
"623","Bingham CE9003",623
"624","Bingham NW2813",624
"625","Bingham NW6626",625
"626","Bingham NW7785",626
"627","Bingham NW8110",627
"628","Bingham NW8958",628
"629","Bingham SW14854",629
"630","Bingham SW15683",630
"631","Bingham SW16105x",631
"632","Bingham SW4392",632
"633","Bingham SW872",633
"634","Black Brook CE14529",634
"635","Black Brook CE14862",635
"636","Black Brook CE35082x",636
"637","Black Brook CE7317",637
"638","Black Brook CE7452",638
"639","Black Brook NW1648",639
"640","Black Brook NW300",640
"641","Black Brook NW3716",641
"642","Black Brook NW6554",642
"643","Black Brook NW7917",643
"644","Black Brook Pond CE10579",644
"645","Black Brook Pond CE12442",645
"646","Black Brook Pond CE18566",646
"647","Black Brook Pond CE2621",647
"648","Black Brook Pond CE37",648
"649","Black Brook Pond NW1198",649
"650","Black Brook Pond NW15453",650
"651","Black Brook Pond NW16923",651
"652","Black Brook Pond NW4355",652
"653","Black Brook Pond NW5378",653
"654","Black Brook Pond SW15542",654
"655","Black Brook Pond SW15657",655
"656","Black Brook Pond SW17900",656
"657","Black Brook Pond SW418",657
"658","Black Brook Pond SW5092x",658
"659","Black Brook SW4594",659
"660","Black Brook SW9628",660
"661","Black Mtn CE10389x",661
"662","Black Mtn CE11069",662
"663","Black Mtn CE11274",663
"664","Black Mtn CE1180",664
"665","Black Mtn CE16269",665
"666","Black Mtn SW10060",666
"667","Black Mtn SW15941",667
"668","Black Mtn SW17999",668
"669","Black Mtn SW8350",669
"670","Black Mtn SW9583",670
"671","Black Nubble CE12576",671
"672","Black Nubble CE15231",672
"673","Black Nubble CE25576x",673
"674","Black Nubble NW10764",674
